createdTime,hostname,logID,logComment,updateTime(s),elapsedSec,count,outlier,logType,dev
2022-08-25 10:05,Host1,0_0,ON,1661389503,0,1,0,Switch,0
2022-08-25 10:06,Host1,7_0,f1,1661389585,82,1,0,Campfire,0
2022-08-25 10:09,Host1,1_1,Get Homerun,1661389740,237,1,0,CheckPoint,0
2022-08-25 10:10,Host1,1_2,Frog With Flowers,1661389823,320,1,0,CheckPoint,0
2022-08-25 10:12,Host1,2_0,Enter Town,1661389925,422,1,0,CheckPoint,0
2022-08-25 10:12,Host1,7_0,f2,1661389952,449,1,0,Campfire,0
2022-08-25 10:13,Host1,2_1,Across The River,1661389981,478,1,0,CheckPoint,0
2022-08-25 10:13,Host1,2_2,Splash Combat,1661389999,496,1,0,CheckPoint,0
2022-08-25 10:14,Host1,2_3,Cave Entrance,1661390085,582,1,0,CheckPoint,0
2022-08-25 10:15,Host2,0_0,ON,1661390132,0,1,0,Switch,0
2022-08-25 10:16,Host1,2_4,Find Fruit,1661390164,661,1,0,CheckPoint,0
2022-08-25 10:16,Host1,8_0,Dead,1661390188,685,1,0,Dead,0
2022-08-25 10:16,Host1,8_0,Dead,1661390165,662,1,0,Dead,0
2022-08-25 10:17,Host3,0_0,ON,1661390237,0,1,0,Switch,0
2022-08-25 10:18,Host3,7_0,f1,1661390329,92,1,0,Campfire,0
2022-08-25 10:18,Host2,7_0,f1,1661390283,152,1,0,Campfire,0
2022-08-25 10:19,Host2,8_0,Dead,1661390392,260,1,0,Dead,0
2022-08-25 10:20,Host3,8_0,Dead,1661390412,175,1,0,Dead,0
2022-08-25 10:21,Host2,8_0,Dead,1661390484,353,1,0,Dead,0
2022-08-25 10:22,Host3,8_0,Dead,1661390538,302,1,0,Dead,0
2022-08-25 10:22,Host4,0_0,ON,1661390532,0,1,0,Switch,0
2022-08-25 10:22,Host2,1_1,Get Homerun,1661390579,448,1,0,CheckPoint,0
2022-08-25 10:23,Host3,1_1,Get Homerun,1661390631,394,1,0,CheckPoint,0
2022-08-25 10:23,Host4,7_0,f1,1661390614,82,1,0,Campfire,0
2022-08-25 10:24,Host2,1_2,Frog With Flowers,1661390687,556,1,0,CheckPoint,0
2022-08-25 10:25,Host3,1_2,Frog With Flowers,1661390738,501,1,0,CheckPoint,0
2022-08-25 10:25,Host4,8_0,Dead,1661390720,188,1,0,Dead,0
2022-08-25 10:26,Host3,7_0,f1,1661390813,576,1,0,Campfire,0
2022-08-25 10:26,Host3,7_0,f1,1661390786,550,1,0,Campfire,0
2022-08-25 10:26,Host5,0_0,ON,1661390802,0,1,0,Switch,0
2022-08-25 10:26,Host4,1_1,Get Homerun,1661390811,279,1,0,CheckPoint,0
2022-08-25 10:26,Host2,7_0,f1,1661390804,673,1,0,Campfire,0
2022-08-25 10:27,Host3,2_0,Enter Town,1661390826,589,1,0,CheckPoint,0
2022-08-25 10:27,Host3,2_1,Across The River,1661390875,638,1,0,CheckPoint,0
2022-08-25 10:27,Host3,7_0,f2,1661390847,610,1,0,Campfire,0
2022-08-25 10:28,Host5,7_0,f1,1661390904,102,1,0,Campfire,0
2022-08-25 10:28,Host2,2_0,Enter Town,1661390889,758,1,0,CheckPoint,0
2022-08-25 10:29,Host3,2_2,Splash Combat,1661390976,739,1,0,CheckPoint,0
2022-08-25 10:29,Host4,1_2,Frog With Flowers,1661390991,459,1,0,CheckPoint,0
2022-08-25 10:29,Host2,2_1,Across The River,1661390980,848,1,0,CheckPoint,0
2022-08-25 10:29,Host2,7_0,f2,1661390943,811,1,0,Campfire,0
2022-08-25 10:30,Host2,2_2,Splash Combat,1661391028,897,1,0,CheckPoint,0
2022-08-25 10:31,Host3,2_3,Cave Entrance,1661391089,852,1,0,CheckPoint,0
2022-08-25 10:31,Host5,1_1,Get Homerun,1661391092,290,1,0,CheckPoint,0
2022-08-25 10:31,Host2,7_0,f2,1661391088,956,1,0,Campfire,0
2022-08-25 10:31,Host2,8_0,Dead,1661391081,950,1,0,Dead,0
2022-08-25 10:32,Host3,2_4,Find Fruit,1661391157,921,1,0,CheckPoint,0
2022-08-25 10:32,Host4,2_0,Enter Town,1661391129,597,1,0,CheckPoint,0
2022-08-25 10:33,Host3,3_0,Out of the Cave,1661391201,965,1,0,CheckPoint,0
2022-08-25 10:33,Host3,7_0,f2,1661391217,981,1,0,Campfire,0
2022-08-25 10:33,Host5,1_2,Frog With Flowers,1661391183,381,1,0,CheckPoint,0
2022-08-25 10:33,Host5,2_0,Enter Town,1661391235,433,1,0,CheckPoint,0
2022-08-25 10:33,Host5,7_0,f1,1661391211,409,1,0,Campfire,0
2022-08-25 10:33,Host4,2_1,Across The River,1661391224,692,1,0,CheckPoint,0
2022-08-25 10:33,Host4,7_0,f2,1661391191,659,1,0,Campfire,0
2022-08-25 10:33,Host2,2_3,Cave Entrance,1661391236,1104,1,0,CheckPoint,0
2022-08-25 10:34,Host5,7_0,f2,1661391299,497,1,0,Campfire,0
2022-08-25 10:34,Host4,2_2,Splash Combat,1661391294,762,1,0,CheckPoint,0
